Clube,Fundação,Matiz (0-360),Saturação (%),ID do desenho,Rótulo do desenho,Início,Fim (vazio = atual)
Botafogo Futebol e Regatas,1904,0,0,botafogo-1904,1º escudo (1904),1904,1942
Botafogo Futebol e Regatas,1904,0,0,botafogo-1942,2º escudo (1942),1942,
Club de Regatas Vasco da Gama,1898,0,0,vasco-1899,1º escudo (1899),1899,1920
Club de Regatas Vasco da Gama,1898,0,0,vasco-1920,2º escudo (1920–atual),1920,
Clube Atlético Mineiro,1908,0,0,cam-1910,1º escudo (1910),1910,1920
Clube Atlético Mineiro,1908,0,0,cam-1920,2º escudo (1920–atual),1920,
Clube de Regatas do Flamengo,1895,0,0,fla-1895,1º escudo (1895),1895,1920
Clube de Regatas do Flamengo,1895,0,0,fla-1920,2º escudo (1920–atual),1920,
Cruzeiro Esporte Clube,1921,0,0,cruzeiro-1921,1º escudo (1821),1921,1942
Cruzeiro Esporte Clube,1921,0,0,cruzeiro-1942,2º escudo (1942–atual),1942,
São Paulo Futebol Clube,1930,0,0,spfc-1930,Escudo único (1930–atual),1930,
Fluminense Football Club,1902,0,0,flu-1902,1º escudo (1902),1902,1905
Fluminense Football Club,1905,0,0,flu-1905,2º escudo (1905–atual),1905,
